Site,Treatment,Location,Block,Year,Date,Days.After.Planting,    total.flux,  R^2,Rsqr_cleaned,ParameterA,ParameterB,ParameterC
Mandan,BAU,I1,I,2019,1023,159,0.358535,0.799601,NA, 'A': 0.5529786622737741, 'B': -2.4716793628809692, 'C': 2.3578102510098593
Mandan,BAU,I2,I,2019,703,47,0.18629,0.447882,NA, 'A': 0.09424346619253758, 'B': 1.3908180140280482, 'C': -0.21176878789660197
Mandan,BAU,I2,I,2019,1023,159,1.09872,0.998612,1.09872, 'A': 0.38642291147474084, 'B': 3.46922460452403, 'C': -2.264313752384973
Mandan,BAU,I3,I,2019,703,47,0.38891,0.868501,NA, 'A': 0.5455321788063158, 'B': -0.9958676889458841, 'C': 0.43685510285440965
Mandan,BAU,I3,I,2019,1023,159,1.04361,0.944325,NA, 'A': 0.2138915004101322, 'B': 5.902410281018957, 'C': -4.4449387084476895
Mandan,BAU,A1,A,2020,619,30,5.77871,0.592787,NA, 'A': 8.43891292836006, 'B': -2.002061531876531, 'C': 1.8342936753906012
Mandan,BAU,A1,A,2020,730,71,0.53939,0.995579,0.53939, 'A': 2.9434468822603677, 'B': -10.4433168283987, 'C': 9.57730760770612
Mandan,BAU,A2,A,2020,619,30,4.98591,0.883776,NA, 'A': 5.774355707566359, 'B': -0.4903163927877775, 'C': 0.2891864780151196
Mandan,BAU,A2,A,2020,730,71,1.18144,0.937608,NA, 'A': 1.567228475149292, 'B': 1.9515938128103072, 'C': -4.521567833919047
Mandan,BAU,A3,A,2020,619,30,5.54141,0.979302,5.54141, 'A': 4.248446639473867, 'B': 1.889560647623176, 'C': -2.0756855569530615
Mandan,BAU,A3,A,2020,730,71,0.910279,0.740552,NA, 'A': 3.1142788422341914, 'B': -5.527134627316544, 'C': 4.147502904206883
Mandan,BAU,B1,B,2020,619,30,7.12418,0.235803,NA, 'A': 7.939558514204907, 'B': -0.5645369956518731, 'C': 0.5191868029189518
Mandan,BAU,B1,B,2020,730,71,1.47344,0.974986,1.47344, 'A': 24.835717853434545, 'B': -23.296881834955254, 'C': 21.665977410841798
Mandan,BAU,B2,B,2020,619,30,4.03426,0.998835,4.03426, 'A': 2.1079382628616825, 'B': 3.1354819347129483, 'C': -2.8290919971441224
Mandan,BAU,B2,B,2020,730,71,0.681065,0.648608,NA, 'A': 1.6883923002362151, 'B': -8.710414638237086, 'C': 9.423289155295727
Mandan,BAU,B3,B,2020,619,30,6.40833,0.996297,6.40833, 'A': 4.4444044457563265, 'B': 1.3321609485500536, 'C': -0.9267150864769964
Mandan,BAU,B3,B,2020,730,71,1.12199,0.964214,NA, 'A': 3.5736363330703425, 'B': -7.579997567905943, 'C': 7.39278967528879
Mandan,BAU,C1,C,2020,619,30,4.55436,0.19193,NA, 'A': 4.796434560535367, 'B': -0.713047740151069, 'C': 0.9025616647335594
Mandan,BAU,C1,C,2020,730,71,0.386146,0.593924,NA, 'A': 0.42303116596022877, 'B': 1.1775046398913378, 'C': -2.1876675626515674
Mandan,BAU,C2,C,2020,619,30,4.31033,0.619331,NA, 'A': 4.542457070450809, 'B': -0.13555691585372096, 'C': 0.04492782412872724
Mandan,BAU,C2,C,2020,730,71,0.580173,0.381468,NA, 'A': 0.3669381363488184, 'B': 3.552866425152511, 'C': -4.116027787663108
Mandan,BAU,C3,C,2020,619,30,4.35887,0.402683,NA, 'A': 3.8097564546721774, 'B': 0.23294818827534394, 'C': 0.044835575855764725
Mandan,BAU,C3,C,2020,730,71,1.38465,0.948146,NA, 'A': 8.997891892557291, 'B': -9.527688320006455, 'C': 7.3234484121965595
Mandan,BAU,D1,D,2020,619,30,4.88676,0.923641,NA, 'A': 5.548478780208348, 'B': -0.9946116016811973, 'C': 1.099222071361227
Mandan,BAU,D1,D,2020,730,71,1.01449,0.989545,1.01449, 'A': 9.808276540302874, 'B': -16.947249618007557, 'C': 16.07388596547613
Mandan,BAU,D2,D,2020,619,30,4.15174,0.999985,4.15174, 'A': 2.797117857953647, 'B': 2.3414724208088176, 'C': -2.372548285172028
Mandan,BAU,D2,D,2020,730,71,0.866192,0.979951,0.866192, 'A': 4.084904707091832, 'B': -9.113737389323125, 'C': 8.250083013320246
Mandan,BAU,D3,D,2020,619,30,5.93127,0.128691,NA, 'A': 5.2100411690779245, 'B': 1.4886096827365325, 'C': -1.8905684864873196
Mandan,BAU,D3,D,2020,730,71,2.51722,0.915664,NA, 'A': 9.831695404042447, 'B': -6.709762792342342, 'C': 5.436969272652495
Mandan,BAU,E1,E,2020,619,30,4.32672,0.655731,NA, 'A': 10.449116067514998, 'B': -4.387028484595921, 'C': 3.7477298668169596
Mandan,BAU,E1,E,2020,730,71,0.693484,0.983451,0.693484, 'A': 3.754192194939756, 'B': -9.0814164499515, 'C': 7.629290759846922
Mandan,BAU,E2,E,2020,619,30,4.26656,0.975089,4.26656, 'A': 6.414335476822628, 'B': -1.3071449449963806, 'C': 0.6828119225792799
Mandan,BAU,E2,E,2020,730,71,1.43113,0.995694,1.43113, 'A': 8.06796963748365, 'B': -8.960048350142406, 'C': 7.232760159421393
Mandan,BAU,E3,E,2020,619,30,6.06685,0.401846,NA, 'A': 6.370231913609212, 'B': -0.03147769493808435, 'C': -0.10145145630462998
Mandan,BAU,E3,E,2020,730,71,1.14658,0.98739,1.14658, 'A': 3.158967385296034, 'B': -4.767879307708983, 'C': 3.8477937163241114
Mandan,BAU,F1,F,2020,619,30,4.34391,0.96824,NA, 'A': 3.1204646113063763, 'B': 1.233656312213936, 'C': -0.879245642334448
Mandan,BAU,F1,F,2020,730,71,2.42789,0.987967,2.42789, 'A': 33.41776705490898, 'B': -17.362297790211624, 'C': 14.526401478308133
Mandan,BAU,F2,F,2020,619,30,4.49862,0.332801,NA, 'A': 5.512619333660466, 'B': -0.8584165431140468, 'C': 0.6693740751725714
Mandan,BAU,F2,F,2020,730,71,1.67328,0.984264,1.67328, 'A': 15.128507026266687, 'B': -14.001526357180664, 'C': 12.417139318480302
Mandan,BAU,F3,F,2020,619,30,5.51279,0.564484,NA, 'A': 8.15743607711159, 'B': -1.077693691660593, 'C': 0.3771333642620592
Mandan,BAU,F3,F,2020,730,71,0.63999,0.951136,NA, 'A': 1.2505209310198369, 'B': -1.3583235799113702, 'C': -0.30421389143758215
Mandan,BAU,G1,G,2020,619,30,5.66182,0.394178,NA, 'A': 6.644111570438632, 'B': -0.6074968982616732, 'C': 0.4255152408190682
Mandan,BAU,G1,G,2020,730,71,4.37387,0.999872,4.37387, 'A': 53.84406586420482, 'B': -16.92536947602039, 'C': 14.84242877798294
Mandan,BAU,G2,G,2020,619,30,7.06355,0.981861,7.06355, 'A': 10.841352133932595, 'B': -2.042241828419673, 'C': 1.739395133434436
Mandan,BAU,G2,G,2020,730,71,1.92311,0.996606,1.92311, 'A': 19.79433074848973, 'B': -13.161206803934599, 'C': 9.975405669739699
Mandan,BAU,G3,G,2020,619,30,5.33476,0.83844,NA, 'A': 3.6624543380871057, 'B': 1.981371480596804, 'C': -1.873348812974373
Mandan,BAU,G3,G,2020,730,71,0.629782,0.999769,0.629782, 'A': 1.1372734484895626, 'B': -1.2154960247296962, 'C': -0.19016648038221728
Mandan,BAU,H1,H,2020,619,30,5.17461,0.998578,5.17461, 'A': 5.699983643457395, 'B': -0.784886501215094, 'C': 0.879511608702713
Mandan,BAU,H1,H,2020,730,71,0.800098,0.992942,0.800098, 'A': 2.444530111280533, 'B': -6.430258791256022, 'C': 5.935220391710169
